time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
275.3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275.4398,0,0,0,1,1,0,0,0,0,5.030765,14.50443,37.29555,343.3376,177.533,0.1694173
275.4541,0,0,0,2,2,0,0,0,0,5.031942,14.50473,37.29665,343.2233,177.3256,0.3079055
275.4611,0,0,0,3,3,0,0,0,0,5.032286,14.50471,37.29693,343.1617,177.2699,0.3852536
275.4782,0,0,0,4,4,0,0,0,0,5.032573,14.50486,37.29736,343.1164,177.2169,0.4542705
275.5095,0,0,0,5,5,0,0,0,0,5.032882,14.50501,37.29774,343.0162,177.1266,0.5021858
275.5233,0,0,0,6,6,0,0,0,0,5.033206,14.50505,37.29801,342.9131,177.0462,0.5684341
275.5374,0,0,0,7,7,0,0,0,0,5.033514,14.50517,37.29841,342.8288,176.9877,0.5853338
275.5511,0,0,0,8,8,0,0,0,0,5.033791,14.50525,37.29873,342.7579,176.9392,0.6284501
275.565,0,0,0,9,9,0,0,0,0,5.034063,14.50527,37.2991,342.7109,176.8765,0.6683431
275.5799,0,0,0,10,10,0,0,0,0,5.034453,14.50538,37.29944,342.6988,176.8305,0.7088073
275.5951,0,0,0,11,11,0,0,0,0,5.034704,14.50559,37.29983,342.705,176.75,0.7575987
275.6118,0,0,0,12,12,0,0,0,0,5.034892,14.50579,37.30013,342.672,176.6966,0.7792484
275.6275,0,0,0,13,13,0,0,0,0,5.035215,14.50599,37.30044,342.623,176.679,0.7572467
275.6434,0,0,0,14,14,0,0,0,0,5.035537,14.50618,37.30084,342.6124,176.6439,0.7621806
275.6584,0,0,0,15,15,0,0,0,0,5.035865,14.50641,37.30127,342.6154,176.6343,0.751466
275.6729,0,0,0,16,16,0,0,0,0,5.036076,14.50664,37.30169,342.6152,176.61,0.762889
275.6882,0,0,0,17,17,0,0,0,0,5.03625,14.50692,37.30219,342.6269,176.567,0.7829146
275.703,0,0,0,18,18,0,0,0,0,5.036607,14.50714,37.30267,342.6321,176.5489,0.8047547
275.7174,0,0,0,19,19,0,0,0,0,5.036914,14.50735,37.30328,342.6879,176.5141,0.8237064
275.7312,0,0,0,20,20,0,0,0,0,5.037215,14.50748,37.30383,342.7567,176.4917,0.8444274
275.7465,0,0,0,21,21,0,0,0,0,5.037459,14.5075,37.30452,342.882,176.466,0.8723276
275.761,0,0,0,22,22,0,0,0,0,5.037796,14.50741,37.30524,343.079,176.4442,0.9096403
275.777,0,0,0,23,23,0,0,0,0,5.038145,14.5072,37.30607,343.3826,176.3934,0.9879684
275.7888,0,0,0,24,24,0,0,0,0,5.038472,14.50689,37.30699,343.7578,176.3164,1.061637
275.8033,0,0,0,25,25,0,0,0,0,5.038834,14.50648,37.30791,344.2273,176.2518,1.110274
275.8174,0,0,0,26,26,0,0,0,0,5.039135,14.50595,37.30886,344.7635,176.154,1.196652
275.8308,0,0,0,27,27,0,0,0,0,5.039547,14.50548,37.30978,345.3346,176.0302,1.282289
275.8459,0,0,0,28,28,0,0,0,0,5.039978,14.50505,37.3106,345.8477,175.8772,1.388351
275.86,0,0,0,29,29,0,0,0,0,5.040374,14.50467,37.3115,346.2582,175.7003,1.536239
275.8734,0,0,0,30,30,0,0,0,0,5.040662,14.50423,37.31247,346.5936,175.524,1.681224
275.8878,0,0,0,31,31,0,0,0,0,5.040961,14.50372,37.31352,346.9124,175.3468,1.807935
275.9019,0,0,0,32,32,0,0,0,0,5.041317,14.50312,37.3146,347.2509,175.1824,1.931954
275.916,0,0,0,33,33,0,0,0,0,5.041682,14.50242,37.31577,347.6809,175.022,2.051954
275.9291,0,0,0,34,34,0,0,0,0,5.041955,14.50168,37.31702,348.1807,174.8589,2.171079
275.9441,0,0,0,35,35,0,0,0,0,5.042198,14.50099,37.31835,348.6508,174.6867,2.251911
275.9579,0,0,0,36,36,0,0,0,0,5.042378,14.50031,37.3197,349.0501,174.4927,2.34166
275.9716,0,0,0,37,37,0,0,0,0,5.042614,14.49974,37.32113,349.4284,174.3062,2.423957
275.9859,0,0,0,38,38,0,0,0,0,5.042828,14.49911,37.3226,349.798,174.1269,2.506735
275.9997,0,0,0,39,39,0,0,0,0,5.043011,14.4984,37.32415,350.1476,173.949,2.543691
276.0136,0,0,0,40,40,0,0,0,0,5.043085,14.49768,37.32576,350.5628,173.7548,2.601628
276.0278,0,0,0,41,41,0,0,0,0,5.043184,14.4971,37.32738,350.9995,173.5699,2.663867
276.0418,0,0,0,42,42,0,0,0,0,5.04333,14.49662,37.32896,351.3759,173.3761,2.703956
276.0559,0,0,0,43,43,0,0,0,0,5.043416,14.49612,37.33054,351.6556,173.1772,2.710792
276.0691,0,0,0,44,44,0,0,0,0,5.043452,14.49558,37.33216,351.9014,173.0051,2.704565
276.0836,0,0,0,45,45,0,0,0,0,5.043398,14.49503,37.33389,352.1482,172.8396,2.692555
276.0976,0,0,0,46,46,0,0,0,0,5.043361,14.4945,37.3356,352.4055,172.7018,2.67263
276.1111,0,0,0,47,47,0,0,0,0,5.043308,14.49404,37.33729,352.6392,172.5792,2.646473
276.1257,0,0,0,48,48,0,0,0,0,5.043169,14.49364,37.33901,352.8413,172.4482,2.625685
276.1399,0,0,0,49,49,0,0,0,0,5.042973,14.49319,37.34068,353.0079,172.3411,2.622792
276.153,0,0,0,50,50,0,0,0,0,5.04275,14.49264,37.34236,353.1827,172.2304,2.636446
276.1673,0,0,0,51,51,0,0,0,0,5.042483,14.49217,37.34401,353.3716,172.1448,2.664308
276.1812,0,0,0,52,52,0,0,0,0,5.042136,14.49181,37.34563,353.4825,172.0625,2.672771
276.1953,0,0,0,53,53,0,0,0,0,5.041761,14.49148,37.34718,353.4991,171.9918,2.661796
276.2087,0,0,0,54,54,0,0,0,0,5.041391,14.49115,37.34864,353.472,171.9684,2.646366
276.2246,0,0,0,55,55,0,0,0,0,5.040917,14.49069,37.35012,353.4358,171.9492,2.618975
276.2373,0,0,0,56,56,0,0,0,0,5.040442,14.49016,37.35157,353.4414,171.9607,2.60992
276.2502,0,0,0,57,57,0,0,0,0,5.039914,14.4896,37.35302,353.4668,171.9791,2.60604
276.2648,0,0,0,58,58,0,0,0,0,5.039337,14.48899,37.35437,353.5035,172.0141,2.618278
276.2788,0,0,0,59,59,0,0,0,0,5.03866,14.48829,37.35566,353.5298,172.0455,2.646613
276.2922,0,0,0,60,60,0,0,0,0,5.038036,14.48757,37.3569,353.6068,172.1292,2.670469
276.3069,0,1,0,61,61,0,0,0,0,5.037359,14.48684,37.3581,353.7376,172.233,2.660186
276.3209,0,2,0,62,62,0,0,0,0,5.036695,14.48609,37.35929,353.9223,172.3782,2.599009
276.3347,0,3,0,63,63,0,0,0,0,5.036014,14.48525,37.36035,354.1139,172.5418,2.48975
276.3479,0,4,0,64,64,0,0,0,0,5.035251,14.48438,37.36135,354.3637,172.7281,2.408033
276.3624,0,5,0,65,65,0,0,0,0,5.034565,14.48355,37.36218,354.5875,172.9421,2.343553
276.3765,0,6,0,66,66,0,0,0,0,5.033753,14.48289,37.36295,354.7687,173.1277,2.287478
276.3898,0,7,0,67,67,0,0,0,0,5.032969,14.48216,37.36357,354.8486,173.3222,2.235197
276.4042,0,8,0,68,68,0,0,0,0,5.032251,14.48129,37.36404,354.9117,173.5165,2.184563
276.4188,0,9,0,69,69,0,0,0,0,5.031461,14.48024,37.36448,355.008,173.7095,2.175042
276.4316,0,10,0,70,70,0,0,0,0,5.030725,14.47927,37.36494,355.1779,173.9158,2.138361
276.446,0,11,0,71,71,0,0,0,0,5.029961,14.47838,37.3654,355.3622,174.1199,2.107903
276.4599,0,12,0,72,72,0,0,0,0,5.029263,14.47743,37.36575,355.5024,174.3235,2.038707
276.4735,0,13,0,73,73,0,0,0,0,5.028604,14.47647,37.36608,355.6837,174.5288,1.973953
