time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
128.7121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.7439,0,0,0,0,1,0,0,0,0,5.080005,14.46279,36.95601,14.8951,178.2435,358.8598
128.7561,0,0,0,0,2,0,0,0,0,5.080004,14.46274,36.95607,14.92551,178.2507,358.8831
128.7624,0,0,0,0,3,0,0,0,0,5.080013,14.46266,36.95612,14.96052,178.26,358.8923
128.7775,0,0,0,0,4,0,0,0,0,5.080035,14.46261,36.95613,14.98538,178.2658,358.8942
128.7909,0,0,0,0,5,0,0,0,0,5.080063,14.46258,36.95611,14.99814,178.2826,358.8888
128.8059,0,0,0,0,6,0,0,0,0,5.080054,14.46256,36.95614,15.01754,178.2943,358.8742
128.8201,0,0,0,0,7,0,0,0,0,5.080051,14.46251,36.95619,15.07603,178.3176,358.8702
128.8412,0,0,0,0,8,0,0,0,0,5.080062,14.4624,36.95626,15.15009,178.3384,358.8738
128.8484,0,0,0,0,9,0,0,0,0,5.080084,14.46228,36.95634,15.2085,178.3523,358.8777
128.8604,0,0,0,0,10,0,0,0,0,5.080123,14.46217,36.95641,15.27286,178.343,358.877
128.8752,0,0,0,0,11,0,0,0,0,5.08015,14.4621,36.9565,15.32436,178.3501,358.8651
128.889,0,0,0,0,12,0,0,0,0,5.080193,14.46204,36.95658,15.37883,178.3855,358.8582
128.9039,0,0,0,0,13,0,0,0,0,5.080248,14.46196,36.95665,15.43237,178.4043,358.8621
128.9179,0,0,0,0,14,0,0,0,0,5.080306,14.46187,36.95673,15.49381,178.4292,358.8666
128.9314,0,0,0,0,15,0,0,0,0,5.080377,14.46175,36.95682,15.57133,178.4689,358.8774
128.9461,0,0,0,0,16,0,0,0,0,5.080442,14.46164,36.95692,15.64051,178.5079,358.8891
128.9602,0,0,0,0,17,0,0,0,0,5.080507,14.46157,36.95701,15.68381,178.5526,358.9087
128.9744,0,0,0,0,18,0,0,0,0,5.080584,14.46151,36.95707,15.71513,178.5897,358.927
128.9877,0,0,0,0,19,0,0,0,0,5.080667,14.46144,36.95712,15.77261,178.6144,358.97
129.0023,0,0,0,0,20,0,0,0,0,5.080755,14.46132,36.9572,15.88291,178.6352,358.9924
129.0162,0,0,0,0,21,0,0,0,0,5.080852,14.46111,36.95731,16.03554,178.6807,359.0131
129.0296,0,0,0,0,22,0,0,0,0,5.080938,14.46087,36.95744,16.19416,178.7185,359.0429
129.0441,0,0,0,0,23,0,0,0,0,5.08103,14.46062,36.95754,16.32951,178.7484,359.0601
129.0584,0,0,0,0,24,0,0,0,0,5.08113,14.46041,36.9576,16.42778,178.779,359.0777
129.0717,0,0,0,0,25,0,0,0,0,5.08125,14.46019,36.95765,16.54589,178.7854,359.0829
129.0861,0,0,0,0,26,0,0,0,0,5.081385,14.45989,36.95768,16.69309,178.7879,359.0977
129.1003,0,0,0,0,27,0,0,0,0,5.081523,14.45926,36.95776,16.91572,178.7853,359.1199
129.1141,0,0,0,0,28,0,0,0,0,5.081608,14.45885,36.95782,17.14285,178.7794,359.1463
129.1275,0,0,0,0,29,0,0,0,0,5.081684,14.45862,36.95781,17.32288,178.7659,359.1836
129.1421,0,0,0,0,30,0,0,0,0,5.081792,14.45836,36.9577,17.40607,178.7836,359.2114
129.1563,0,0,0,0,31,0,0,0,0,5.081807,14.45817,36.95764,17.48943,178.7898,359.2229
129.1696,0,0,0,0,32,0,0,0,0,5.081842,14.45782,36.95759,17.57897,178.8182,359.244
129.184,0,0,0,0,33,0,0,0,0,5.081862,14.45743,36.95762,17.7533,178.8391,359.2622
129.1981,0,0,0,0,34,0,0,0,0,5.081871,14.45699,36.95768,17.97072,178.8672,359.293
129.2115,0,0,0,0,35,0,0,0,0,5.081811,14.45663,36.95773,18.20331,178.8646,359.318
129.2261,0,0,0,0,36,0,0,0,0,5.08183,14.45636,36.95774,18.38134,178.8734,359.3192
129.24,0,0,0,0,37,0,0,0,0,5.081804,14.45607,36.95775,18.52149,178.8655,359.3091
129.2539,0,0,0,0,38,0,0,0,0,5.081759,14.45576,36.95782,18.65745,178.8424,359.2845
129.2674,0,0,0,0,39,0,0,0,0,5.081758,14.45546,36.95796,18.84599,178.8314,359.2549
129.2817,0,0,0,0,40,0,0,0,0,5.081723,14.45512,36.95816,19.05368,178.7938,359.2173
129.2957,0,0,0,0,41,0,0,0,0,5.081724,14.45482,36.95837,19.28002,178.741,359.1797
129.3091,0,0,0,0,42,0,0,0,0,5.081758,14.45471,36.95856,19.41804,178.6578,359.158
129.3236,0,0,0,0,43,0,0,0,0,5.081817,14.45472,36.95869,19.43718,178.5421,359.1231
129.3379,0,0,0,0,44,0,0,0,0,5.081807,14.45451,36.95884,19.39535,178.4071,359.0537
129.3509,0,0,0,0,45,0,0,0,0,5.081877,14.45463,36.95899,19.37247,178.2937,358.994
129.3655,0,0,0,0,46,0,0,0,0,5.081951,14.45474,36.95921,19.40134,178.1598,358.9406
129.3794,0,0,0,0,47,0,0,0,0,5.082059,14.45476,36.9595,19.46914,178.0172,358.9006
129.3926,0,0,0,0,48,0,0,0,0,5.08217,14.4547,36.95984,19.57428,177.8539,358.8622
129.4073,0,0,0,0,49,0,0,0,0,5.082406,14.45452,36.96033,19.68644,177.6452,358.8352
129.4214,0,0,0,0,50,0,0,0,0,5.082581,14.45451,36.96069,19.77446,177.4019,358.7935
129.4353,0,0,0,0,51,0,0,0,0,5.082882,14.45451,36.96104,19.82839,177.1337,358.7113
129.4497,0,0,0,0,52,0,0,0,0,5.083103,14.45453,36.96147,19.91071,176.8323,358.6189
129.4629,0,0,0,0,53,0,0,0,0,5.083404,14.45444,36.96193,20.01675,176.5369,358.5712
129.4767,0,0,0,0,54,0,0,0,0,5.083807,14.45442,36.96238,20.12788,176.2052,358.4794
129.4901,0,0,0,0,55,0,0,0,0,5.084304,14.45442,36.96287,20.17949,175.7903,358.4047
129.5047,0,0,0,0,56,0,0,0,0,5.084907,14.45451,36.96337,20.16361,175.3045,358.3162
129.5187,0,0,0,0,57,0,0,0,0,5.08554,14.45464,36.96387,20.12731,174.7669,358.2229
129.5318,0,0,0,0,58,0,0,0,0,5.086193,14.45481,36.96442,20.10195,174.1867,358.0995
129.5466,0,0,0,0,59,0,0,0,0,5.086946,14.45487,36.96492,20.10218,173.6412,358.0076
129.5605,0,0,0,0,60,0,0,0,0,5.087719,14.45491,36.96548,20.12069,173.0886,357.9328
129.5743,0,0,0,0,61,0,0,0,0,5.088524,14.455,36.96605,20.11876,172.5429,357.883
129.5876,0,0,0,0,62,0,0,0,0,5.089334,14.45517,36.96658,20.07253,171.9845,357.87
129.6021,0,0,0,0,63,0,0,0,0,5.090198,14.4554,36.96703,19.98323,171.4475,357.863
129.6159,0,0,0,0,64,0,0,0,0,5.091055,14.45557,36.96749,19.91763,170.9351,357.8815
129.6294,0,0,0,0,65,0,0,0,0,5.091834,14.45566,36.96803,19.88614,170.4563,357.9001
129.6438,0,0,0,0,66,0,0,0,0,5.092567,14.45581,36.96852,19.87834,170.0556,357.8688
129.6579,0,0,0,0,67,0,0,0,0,5.093245,14.45595,36.96891,19.83718,169.7341,357.827
129.6713,0,0,0,0,68,0,0,0,0,5.09387,14.45607,36.96926,19.79333,169.4634,357.8305
129.6856,0,0,0,0,69,0,0,0,0,5.094438,14.45624,36.96959,19.74673,169.2399,357.8451
129.6997,0,0,0,0,70,0,0,0,0,5.095038,14.45634,36.96985,19.6771,169.0585,357.8779
129.7128,0,0,0,0,71,0,0,0,0,5.095541,14.45646,36.97009,19.59399,168.8831,357.8923
129.7275,0,0,0,0,72,0,0,0,0,5.096021,14.45661,36.97031,19.52147,168.7462,357.9183
129.7415,0,0,0,0,73,0,0,0,0,5.096404,14.45672,36.97053,19.44947,168.642,357.9465
129.7555,0,0,0,0,74,0,0,0,0,5.096827,14.45684,36.97071,19.40354,168.5811,357.9625
129.7688,0,0,0,0,75,0,0,0,0,5.097158,14.45686,36.97091,19.38329,168.5544,358.0116
129.7833,0,0,0,0,76,0,0,0,0,5.097437,14.45689,36.97108,19.37831,168.5369,358.0526
129.797,0,0,0,0,77,0,0,0,0,5.09771,14.45702,36.97127,19.37246,168.5439,358.1082
129.8103,0,0,0,0,78,0,0,0,0,5.097917,14.45715,36.9714,19.31801,168.5472,358.1855
129.8252,0,0,0,0,79,0,0,0,0,5.098125,14.45735,36.97152,19.25437,168.5802,358.2719
129.8391,0,0,0,0,80,0,0,0,0,5.098295,14.45751,36.97164,19.18827,168.6065,358.3601
129.8556,0,0,0,0,81,0,0,0,0,5.098505,14.45771,36.97177,19.11801,168.6521,358.4125
129.8666,0,0,0,0,82,0,0,0,0,5.098699,14.45796,36.97187,19.03393,168.6943,358.465
129.8797,0,0,0,0,83,0,0,0,0,5.098847,14.45828,36.97198,18.93596,168.7259,358.5099
129.8932,0,0,0,0,84,0,0,0,0,5.09898,14.45861,36.97208,18.80738,168.7658,358.5462
129.9079,0,0,0,0,85,0,0,0,0,5.099053,14.45894,36.97215,18.68046,168.8151,358.583
129.9217,0,0,0,0,86,0,0,0,0,5.099056,14.45931,36.97226,18.56326,168.8514,358.6099
129.9358,0,0,0,0,87,0,0,0,0,5.099043,14.45964,36.97236,18.41903,168.9241,358.641
129.949,0,0,0,0,88,0,0,0,0,5.098995,14.45998,36.97247,18.263,169.0048,358.6784
129.9636,0,0,0,0,89,0,0,0,0,5.098901,14.46036,36.97257,18.10175,169.0895,358.721
