time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
307.4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.5868,0,0,0,1,1,0,0,0,0,4.933597,14.54139,37.6596,349.4527,174.2484,0.8744947
307.6053,0,0,0,2,2,0,0,0,0,4.93348,14.5413,37.6595,349.5832,174.3132,0.8858502
307.6121,0,0,0,3,3,0,0,0,0,4.933459,14.54135,37.65948,349.5644,174.3058,0.9306902
307.6294,0,0,0,4,4,0,0,0,0,4.93341,14.54138,37.65954,349.5699,174.3009,0.9988946
307.6601,0,0,0,5,5,0,0,0,0,4.933351,14.54137,37.65965,349.5148,174.2929,0.9341018
307.674,0,0,0,6,6,0,0,0,0,4.933316,14.54142,37.65965,349.4728,174.2939,0.8693851
307.6881,0,0,0,7,7,0,0,0,0,4.933265,14.54146,37.65966,349.4527,174.3288,0.8627367
307.7019,0,0,0,8,8,0,0,0,0,4.933242,14.54148,37.65968,349.4342,174.368,0.8639124
307.7157,0,0,0,9,9,0,0,0,0,4.933226,14.54149,37.65971,349.4445,174.388,0.8906587
307.7306,0,0,0,10,10,0,0,0,0,4.933146,14.54145,37.65978,349.437,174.4101,0.9215305
307.7474,0,0,0,11,11,0,0,0,0,4.933064,14.5414,37.65987,349.4417,174.4222,0.9137141
307.7637,0,0,0,12,12,0,0,0,0,4.933019,14.54141,37.65993,349.4445,174.4412,0.8928596
307.7794,0,0,0,13,13,0,0,0,0,4.933,14.54147,37.65998,349.4305,174.4391,0.8928572
307.7941,0,0,0,14,14,0,0,0,0,4.933002,14.54151,37.66003,349.4193,174.4384,0.8685675
307.81,0,0,0,15,15,0,0,0,0,4.932985,14.54153,37.66009,349.4079,174.4098,0.8475575
307.8249,0,0,0,16,16,0,0,0,0,4.933006,14.54154,37.66018,349.398,174.3861,0.828494
307.8395,0,0,0,17,17,0,0,0,0,4.933029,14.54156,37.66031,349.3788,174.3378,0.8228656
307.8536,0,0,0,18,18,0,0,0,0,4.933063,14.54159,37.66045,349.3357,174.2826,0.8296811
307.869,0,0,0,19,19,0,0,0,0,4.933132,14.54169,37.66051,349.2853,174.2206,0.8406352
307.8833,0,0,0,20,20,0,0,0,0,4.933231,14.54176,37.66057,349.2459,174.1606,0.848
307.8976,0,0,0,21,21,0,0,0,0,4.933336,14.54181,37.66071,349.227,174.0893,0.8500436
307.9112,0,0,0,22,22,0,0,0,0,4.933442,14.54181,37.66085,349.2059,174.0138,0.8761535
307.926,0,0,0,23,23,0,0,0,0,4.933558,14.54182,37.66097,349.195,173.9652,0.8790726
307.9406,0,0,0,24,24,0,0,0,0,4.933674,14.54181,37.66108,349.1887,173.9141,0.8872642
307.9546,0,0,0,25,25,0,0,0,0,4.93378,14.5418,37.66118,349.1847,173.8574,0.8952461
307.968,0,0,0,26,26,0,0,0,0,4.93387,14.54179,37.66125,349.1902,173.8092,0.9050603
307.9827,0,0,0,27,27,0,0,0,0,4.93397,14.54175,37.66132,349.1922,173.776,0.9288824
307.9967,0,0,0,28,28,0,0,0,0,4.93408,14.5417,37.66139,349.2009,173.7585,0.9426333
308.0101,0,0,0,29,29,0,0,0,0,4.9342,14.54167,37.66146,349.2157,173.7354,0.9592935
308.0248,0,0,0,30,30,0,0,0,0,4.93432,14.5416,37.66154,349.2427,173.7229,0.974754
308.0389,0,0,0,31,31,0,0,0,0,4.934465,14.54155,37.66168,349.2516,173.703,0.996672
308.0523,0,0,0,32,32,0,0,0,0,4.934586,14.54152,37.66184,349.2927,173.6622,1.008546
308.0671,0,0,0,33,33,0,0,0,0,4.934726,14.54145,37.66183,349.2954,173.6522,1.028038
308.0822,0,0,0,34,34,0,0,0,0,4.93484,14.5414,37.66183,349.3221,173.6375,1.025125
308.0949,0,0,0,35,35,0,0,0,0,4.934954,14.54137,37.66189,349.3193,173.6322,1.018424
308.1082,0,0,0,36,36,0,0,0,0,4.935042,14.54134,37.662,349.3351,173.6245,1.035078
308.1228,0,0,0,37,37,0,0,0,0,4.935143,14.54131,37.66209,349.3549,173.5957,1.051004
308.1367,0,0,0,38,38,0,0,0,0,4.935256,14.54128,37.66212,349.367,173.5718,1.054529
308.1499,0,0,0,39,39,0,0,0,0,4.935359,14.54125,37.66216,349.4074,173.5513,1.073326
308.1646,0,0,0,40,40,0,0,0,0,4.935476,14.5412,37.66215,349.454,173.5341,1.085866
308.1786,0,0,0,41,41,0,0,0,0,4.93557,14.54115,37.66215,349.5131,173.5109,1.097444
308.192,0,0,0,42,42,0,0,0,0,4.935658,14.54107,37.66214,349.5752,173.4967,1.094458
308.2067,0,0,0,43,43,0,0,0,0,4.9357,14.54097,37.66214,349.6284,173.4889,1.097394
308.2207,0,0,0,44,44,0,0,0,0,4.935739,14.54084,37.66213,349.6968,173.5071,1.077176
308.2344,0,0,0,45,45,0,0,0,0,4.935766,14.54071,37.66215,349.831,173.5084,1.07707
308.2478,0,0,0,46,46,0,0,0,0,4.935802,14.5406,37.66215,349.9041,173.5111,1.061106
308.2628,0,0,0,47,47,0,0,0,0,4.935832,14.54054,37.66213,349.9487,173.5002,1.062226
308.2765,0,0,0,48,48,0,0,0,0,4.935856,14.54055,37.66206,349.9341,173.4957,1.067665
308.2896,0,0,0,49,49,0,0,0,0,4.935868,14.5406,37.66202,349.9268,173.478,1.031876
308.3042,0,0,0,50,50,0,0,0,0,4.935895,14.54065,37.66205,349.9324,173.4541,0.966115
308.3184,0,0,0,51,51,0,0,0,0,4.935941,14.54069,37.66209,349.9595,173.4327,0.9469233
308.3316,0,0,0,52,52,0,0,0,0,4.935996,14.54071,37.66208,349.9821,173.3969,0.9486293
308.3459,0,0,0,53,53,0,0,0,0,4.936071,14.54072,37.66207,349.9828,173.3304,0.9411982
308.3596,0,0,0,54,54,0,0,0,0,4.936162,14.54073,37.6621,349.9951,173.2554,0.9424809
308.3748,0,0,0,55,55,0,0,0,0,4.93627,14.54075,37.66216,350.006,173.178,0.9280549
308.388,0,0,0,56,56,0,0,0,0,4.9364,14.54079,37.66223,350.011,173.097,0.9035026
308.4015,0,0,0,57,57,0,0,0,0,4.936533,14.54078,37.6623,350.0187,172.9747,0.8905727
308.4154,0,0,0,58,58,0,0,0,0,4.936694,14.54074,37.66236,350.0388,172.8617,0.8850009
308.4287,0,0,0,59,59,0,0,0,0,4.93684,14.54067,37.66248,350.0891,172.7262,0.882677
308.4434,0,0,0,60,60,0,0,0,0,4.937001,14.54058,37.66263,350.1401,172.5822,0.8619691
308.4574,0,0,0,61,61,0,0,0,0,4.937184,14.54053,37.66277,350.1394,172.4186,0.8685059
308.4708,0,0,0,62,62,0,0,0,0,4.937407,14.5405,37.66289,350.1411,172.267,0.8908541
308.4853,0,0,0,63,63,0,0,0,0,4.937624,14.54051,37.663,350.144,172.1165,0.9155048
308.4993,0,0,0,64,64,0,0,0,0,4.937782,14.54053,37.66312,350.1439,172.0064,0.9566401
308.5126,0,0,0,65,65,0,0,0,0,4.937895,14.54054,37.66325,350.1693,171.9121,0.997199
308.5272,0,0,0,66,66,0,0,0,0,4.937966,14.5405,37.66339,350.2308,171.8496,1.040935
308.5412,0,0,0,67,67,0,0,0,0,4.938025,14.54043,37.66353,350.25,171.829,1.069677
308.5553,0,0,0,68,68,0,0,0,0,4.938059,14.54036,37.66367,350.3048,171.8073,1.078348
308.5685,0,0,0,69,69,0,0,0,0,4.938084,14.54035,37.66379,350.3819,171.8001,1.10393
308.5829,0,0,0,70,70,0,0,0,0,4.938076,14.54032,37.6639,350.4513,171.7908,1.163301
308.5969,0,0,0,71,71,0,0,0,0,4.938095,14.54025,37.66399,350.5167,171.799,1.19258
308.6101,0,0,0,72,72,0,0,0,0,4.938114,14.54017,37.66407,350.5919,171.8069,1.21607
308.6245,0,0,0,73,73,0,0,0,0,4.938118,14.54007,37.66416,350.6776,171.8121,1.225315
308.6386,0,0,0,74,74,0,0,0,0,4.93813,14.53997,37.66425,350.7872,171.8097,1.235887
308.652,0,0,0,75,75,0,0,0,0,4.938129,14.53985,37.66432,350.8749,171.7869,1.241293
308.6664,0,0,0,76,76,0,0,0,0,4.938165,14.53973,37.66436,350.9563,171.76,1.246979
308.6804,0,0,0,77,77,0,0,0,0,4.938198,14.53959,37.66439,351.0424,171.739,1.225065
308.6942,0,0,0,78,78,0,0,0,0,4.938227,14.53945,37.66445,351.118,171.7317,1.193636
308.7076,0,0,0,79,79,0,0,0,0,4.938234,14.53933,37.66456,351.1732,171.7292,1.154655
308.722,0,0,0,80,80,0,0,0,0,4.938233,14.53924,37.66464,351.2229,171.7325,1.125748
308.7364,0,0,0,81,81,0,0,0,0,4.938208,14.53917,37.66462,351.2624,171.7381,1.106467
308.7491,0,0,0,82,82,0,0,0,0,4.938155,14.5391,37.66457,351.2874,171.771,1.091369
308.764,0,0,0,83,83,0,0,0,0,4.938072,14.53909,37.66458,351.2971,171.8283,1.054588
308.7777,0,0,0,84,84,0,0,0,0,4.937943,14.53914,37.6646,351.2912,171.9238,1.017423
308.7908,0,0,0,85,85,0,0,0,0,4.937818,14.53923,37.66458,351.2618,172.0036,0.9865258
308.8057,0,0,0,86,86,0,0,0,0,4.93772,14.53933,37.66449,351.2151,172.1086,0.9577238
308.821,0,0,0,87,87,0,0,0,0,4.937627,14.53942,37.6644,351.1867,172.208,0.9262184
308.8335,0,0,0,88,88,0,0,0,0,4.937529,14.53955,37.66431,351.1711,172.3066,0.8952298
308.8466,0,0,0,89,89,0,0,0,0,4.937429,14.53967,37.66422,351.1437,172.4004,0.8591381
308.8612,0,0,0,90,90,0,0,0,0,4.937351,14.53973,37.66413,351.1504,172.4884,0.8202201
308.8754,0,0,0,91,91,0,0,0,0,4.937285,14.53974,37.66407,351.1415,172.5871,0.7647594
308.8884,0,0,0,92,92,0,0,0,0,4.937231,14.53972,37.66399,351.1572,172.661,0.693304
308.903,0,0,0,93,93,0,0,0,0,4.937165,14.53974,37.66384,351.1747,172.7396,0.610652
308.9171,0,0,0,94,94,0,0,0,0,4.937109,14.53976,37.66367,351.1749,172.8256,0.524179
308.9306,0,0,0,95,95,0,0,0,0,4.937045,14.53977,37.66358,351.1909,172.8887,0.4284621
308.9448,0,0,0,96,96,0,0,0,0,4.936957,14.53977,37.66351,351.1985,172.9892,0.293611
308.9587,0,0,0,97,97,0,0,0,0,4.936822,14.53976,37.66342,351.248,173.0766,0.159546
308.9725,0,0,0,98,98,0,0,0,0,4.936612,14.53988,37.66325,351.3311,173.2025,359.9935
308.9869,0,0,0,99,99,0,0,0,0,4.936369,14.54009,37.66304,351.2706,173.3329,359.8206
309.0007,0,0,0,100,100,0,0,0,0,4.936131,14.54042,37.66287,351.2127,173.4816,359.6319
309.0145,0,0,0,101,101,0,0,0,0,4.935796,14.54088,37.66255,351.0094,173.6103,359.4332
309.028,0,0,0,102,102,0,0,0,0,4.935487,14.54094,37.66237,350.9161,173.7735,359.2651
309.0425,0,0,0,103,103,0,0,0,0,4.935111,14.54097,37.66223,350.9112,173.9482,359.0978
309.0567,0,0,0,104,104,0,0,0,0,4.934798,14.54099,37.66216,350.9781,174.161,358.9519
309.0699,0,0,0,105,105,0,0,0,0,4.934518,14.54118,37.66201,351.0905,174.3722,358.8405
309.0844,0,0,0,106,106,0,0,0,0,4.93418,14.54129,37.66184,351.1116,174.5515,358.7789
309.0983,0,0,0,107,107,0,0,0,0,4.93385,14.54123,37.66162,351.109,174.7153,358.7506
309.1117,0,0,0,108,108,0,0,0,0,4.933595,14.54103,37.66136,351.0823,174.864,358.7176
309.1264,0,0,0,109,109,0,0,0,0,4.933364,14.54094,37.66127,351.1617,174.9982,358.6696
309.1404,0,0,0,110,110,0,0,0,0,4.933187,14.54079,37.66116,351.2561,175.0933,358.6217
309.1541,0,0,0,111,111,0,0,0,0,4.93305,14.5406,37.66103,351.3598,175.193,358.6085
309.1674,0,0,0,112,112,0,0,0,0,4.932922,14.54044,37.66078,351.4088,175.267,358.6139
309.1817,0,0,0,113,113,0,0,0,0,4.932658,14.54039,37.6607,351.4722,175.2915,358.5996
309.196,0,0,0,114,114,0,0,0,0,4.932663,14.54027,37.6605,351.4933,175.2941,358.5876
309.2092,0,0,0,115,115,0,0,0,0,4.932711,14.54015,37.66031,351.5514,175.2878,358.5305
309.2236,0,0,0,116,116,0,0,0,0,4.932792,14.54003,37.66009,351.5958,175.2931,358.5027
309.2378,0,0,0,117,117,0,0,0,0,4.932844,14.53996,37.65988,351.6496,175.2622,358.5095
309.2509,0,0,0,118,118,0,0,0,0,4.93292,14.53987,37.65966,351.6808,175.2302,358.4888
309.2667,0,0,0,119,119,0,0,0,0,4.933037,14.53972,37.6595,351.7077,175.1949,358.4709
